 == BEGINING OF EXECUTION == 



Endereço virtual: 32756 | Endereço físico: 23796 | Conteúdo: 0
Endereço virtual: 64196 | Endereço físico: 22468 | Conteúdo: 0
Endereço virtual: 43218 | Endereço físico: 29394 | Conteúdo: 42
Endereço virtual: 21583 | Endereço físico: 29519 | Conteúdo: 19
Endereço virtual: 25086 | Endereço físico: 29950 | Conteúdo: 24
Endereço virtual: 45515 | Endereço físico: 16075 | Conteúdo: 114
Endereço virtual: 12893 | Endereço físico: 30301 | Conteúdo: 0
Endereço virtual: 22914 | Endereço físico: 30082 | Conteúdo: 22
Endereço virtual: 58969 | Endereço físico: 30297 | Conteúdo: 0
Endereço virtual: 20094 | Endereço físico:  8830 | Conteúdo: 19
Endereço virtual: 13730 | Endereço físico: 30626 | Conteúdo: 13
Endereço virtual: 44059 | Endereço físico: 30747 | Conteúdo: 6
Endereço virtual: 28931 | Endereço físico: 30979 | Conteúdo: 64
Endereço virtual: 13533 | Endereço físico:  3549 | Conteúdo: 0
Endereço virtual: 33134 | Endereço físico: 31342 | Conteúdo: 32
Endereço virtual: 28483 | Endereço físico: 31555 | Conteúdo: 208
Endereço virtual:  1220 | Endereço físico:  9156 | Conteúdo: 0
Endereço virtual: 38174 | Endereço físico: 25118 | Conteúdo: 37
Endereço virtual: 53502 | Endereço físico:  2814 | Conteúdo: 52
Endereço virtual: 43328 | Endereço físico: 31808 | Conteúdo: 0
Endereço virtual:  4970 | Endereço físico: 32106 | Conteúdo: 4
Endereço virtual:  8090 | Endereço físico:  1178 | Conteúdo: 7
Endereço virtual:  2661 | Endereço físico: 32357 | Conteúdo: 0
Endereço virtual: 53903 | Endereço físico: 32655 | Conteúdo: 163
Endereço virtual: 11025 | Endereço físico:  7697 | Conteúdo: 0
Endereço virtual: 26627 | Endereço físico: 11523 | Conteúdo: 0
Endereço virtual: 18117 | Endereço físico:   197 | Conteúdo: 0
Endereço virtual: 14505 | Endereço físico:   425 | Conteúdo: 0
Endereço virtual: 61528 | Endereço físico:   600 | Conteúdo: 0
Endereço virtual: 20423 | Endereço físico:   967 | Conteúdo: 241
Endereço virtual: 26962 | Endereço físico:  1106 | Conteúdo: 26
Endereço virtual: 36392 | Endereço físico: 14632 | Conteúdo: 0
Endereço virtual: 11365 | Endereço físico:  1381 | Conteúdo: 0
Endereço virtual: 50882 | Endereço físico:  1730 | Conteúdo: 49
Endereço virtual: 41668 | Endereço físico: 10436 | Conteúdo: 0
Endereço virtual: 30497 | Endereço físico: 16417 | Conteúdo: 0
Endereço virtual: 36216 | Endereço físico:  1912 | Conteúdo: 0
Endereço virtual:  5619 | Endereço físico: 28403 | Conteúdo: 124
Endereço virtual: 36983 | Endereço físico:  2167 | Conteúdo: 29
Endereço virtual: 59557 | Endereço físico:  2469 | Conteúdo: 0
Endereço virtual: 36663 | Endereço físico:  2871 | Conteúdo: 205
Endereço virtual: 36436 | Endereço físico: 14676 | Conteúdo: 0
Endereço virtual: 37057 | Endereço físico:  2241 | Conteúdo: 0
Endereço virtual: 23585 | Endereço físico:  2593 | Conteúdo: 0
Endereço virtual: 58791 | Endereço físico:  2983 | Conteúdo: 105
Endereço virtual: 46666 | Endereço físico:  3146 | Conteúdo: 45
Endereço virtual: 64475 | Endereço físico: 19931 | Conteúdo: 246
Endereço virtual: 21615 | Endereço físico: 29551 | Conteúdo: 27
Endereço virtual: 41090 | Endereço físico:  3458 | Conteúdo: 40
Endereço virtual:  1771 | Endereço físico: 12779 | Conteúdo: 186
Endereço virtual: 47513 | Endereço físico:  3737 | Conteúdo: 0
Endereço virtual: 39338 | Endereço físico:  4010 | Conteúdo: 38
Endereço virtual:  1390 | Endereço físico: 27502 | Conteúdo: 1
Endereço virtual: 38772 | Endereço físico: 17268 | Conteúdo: 0
Endereço virtual: 58149 | Endereço físico:  4133 | Conteúdo: 0
Endereço virtual:  7196 | Endereço físico: 12060 | Conteúdo: 0
Endereço virtual:  9123 | Endereço físico: 20899 | Conteúdo: 232
Endereço virtual:  7491 | Endereço físico: 12867 | Conteúdo: 80
Endereço virtual: 62616 | Endereço físico:  4504 | Conteúdo: 0
Endereço virtual: 15436 | Endereço físico:  4684 | Conteúdo: 0
Endereço virtual: 17491 | Endereço físico:  9555 | Conteúdo: 20
Endereço virtual: 53656 | Endereço físico:  5272 | Conteúdo: 0
Endereço virtual: 26449 | Endereço físico:  4945 | Conteúdo: 0
Endereço virtual: 34935 | Endereço físico:  5239 | Conteúdo: 29
Endereço virtual: 19864 | Endereço físico:  5528 | Conteúdo: 0
Endereço virtual: 51388 | Endereço físico:  5820 | Conteúdo: 0
Endereço virtual: 15155 | Endereço físico:  5939 | Conteúdo: 204
Endereço virtual: 64775 | Endereço físico:  6151 | Conteúdo: 65
Endereço virtual: 47969 | Endereço físico:  6497 | Conteúdo: 0
Endereço virtual: 16315 | Endereço físico:  6843 | Conteúdo: 238
Endereço virtual:  1342 | Endereço físico: 27454 | Conteúdo: 1
Endereço virtual: 51185 | Endereço físico: 12017 | Conteúdo: 0
Endereço virtual:  6043 | Endereço físico:  7067 | Conteúdo: 230
Endereço virtual: 21398 | Endereço físico: 29078 | Conteúdo: 20
Endereço virtual:  3273 | Endereço físico:  8393 | Conteúdo: 0
Endereço virtual:  9370 | Endereço físico:  7322 | Conteúdo: 9
Endereço virtual: 35463 | Endereço físico:  7559 | Conteúdo: 161
Endereço virtual: 28205 | Endereço físico:  7725 | Conteúdo: 0
Endereço virtual:  2351 | Endereço físico:  7983 | Conteúdo: 75
Endereço virtual: 28999 | Endereço físico: 31047 | Conteúdo: 81
Endereço virtual: 47699 | Endereço físico:  8275 | Conteúdo: 148
Endereço virtual: 46870 | Endereço físico:  8470 | Conteúdo: 45
Endereço virtual: 22311 | Endereço físico:  8743 | Conteúdo: 201
Endereço virtual: 22124 | Endereço físico:  9068 | Conteúdo: 0
Endereço virtual: 22427 | Endereço físico:  8859 | Conteúdo: 230
Endereço virtual: 49344 | Endereço físico: 14528 | Conteúdo: 0
Endereço virtual: 23224 | Endereço físico:  9400 | Conteúdo: 0
Endereço virtual:  5514 | Endereço físico: 28298 | Conteúdo: 5
Endereço virtual: 20504 | Endereço físico:  9496 | Conteúdo: 0
Endereço virtual:   376 | Endereço físico:  9848 | Conteúdo: 0
Endereço virtual:  2014 | Endereço físico: 10206 | Conteúdo: 1
Endereço virtual: 38700 | Endereço físico: 17196 | Conteúdo: 0
Endereço virtual: 13098 | Endereço físico: 13610 | Conteúdo: 12
Endereço virtual: 62435 | Endereço físico: 26083 | Conteúdo: 248
Endereço virtual: 48046 | Endereço físico:  6574 | Conteúdo: 46
Endereço virtual: 63464 | Endereço físico: 10472 | Conteúdo: 0
Endereço virtual: 12798 | Endereço físico: 10750 | Conteúdo: 12
Endereço virtual: 51178 | Endereço físico: 12010 | Conteúdo: 49
Endereço virtual:  8627 | Endereço físico: 24243 | Conteúdo: 108
Endereço virtual: 27083 | Endereço físico:  1227 | Conteúdo: 114
Endereço virtual: 47198 | Endereço físico: 10846 | Conteúdo: 46
Endereço virtual: 44021 | Endereço físico: 11253 | Conteúdo: 0
Endereço virtual: 32792 | Endereço físico: 11288 | Conteúdo: 0
Endereço virtual: 43996 | Endereço físico: 11228 | Conteúdo: 0
Endereço virtual: 41126 | Endereço físico:  3494 | Conteúdo: 40
Endereço virtual: 64244 | Endereço físico: 22516 | Conteúdo: 0
Endereço virtual: 37047 | Endereço físico:  2231 | Conteúdo: 45
Endereço virtual: 60281 | Endereço físico: 11641 | Conteúdo: 0
Endereço virtual: 52904 | Endereço físico: 19624 | Conteúdo: 0
Endereço virtual:  7768 | Endereço físico: 11864 | Conteúdo: 0
Endereço virtual: 55359 | Endereço físico: 12095 | Conteúdo: 15
Endereço virtual:  3230 | Endereço físico: 12446 | Conteúdo: 3
Endereço virtual: 44813 | Endereço físico: 15373 | Conteúdo: 0
Endereço virtual:  4116 | Endereço físico: 25364 | Conteúdo: 0
Endereço virtual: 65222 | Endereço físico: 21190 | Conteúdo: 63
Endereço virtual: 28083 | Endereço físico: 12723 | Conteúdo: 108
Endereço virtual: 60660 | Endereço físico: 13044 | Conteúdo: 0
Endereço virtual:    39 | Endereço físico: 13095 | Conteúdo: 9
Endereço virtual:   328 | Endereço físico:  9800 | Conteúdo: 0
Endereço virtual: 47868 | Endereço físico:  8444 | Conteúdo: 0
Endereço virtual: 13009 | Endereço físico: 13521 | Conteúdo: 0
Endereço virtual: 22378 | Endereço físico:  8810 | Conteúdo: 21
Endereço virtual: 39304 | Endereço físico:  3976 | Conteúdo: 0
Endereço virtual: 11171 | Endereço físico: 13731 | Conteúdo: 232
Endereço virtual:  8079 | Endereço físico: 13967 | Conteúdo: 227
Endereço virtual: 52879 | Endereço físico: 19599 | Conteúdo: 163
Endereço virtual:  5123 | Endereço físico: 14083 | Conteúdo: 0
Endereço virtual:  4356 | Endereço físico: 14340 | Conteúdo: 0
Endereço virtual: 45745 | Endereço físico: 18865 | Conteúdo: 0
Endereço virtual: 32952 | Endereço físico: 11448 | Conteúdo: 0
Endereço virtual:  4657 | Endereço físico: 14641 | Conteúdo: 0
Endereço virtual: 24142 | Endereço físico: 14926 | Conteúdo: 23
Endereço virtual: 23319 | Endereço físico: 15127 | Conteúdo: 197
Endereço virtual: 13607 | Endereço físico: 30503 | Conteúdo: 73
Endereço virtual: 46304 | Endereço físico: 23264 | Conteúdo: 0
Endereço virtual: 17677 | Endereço físico: 18445 | Conteúdo: 0
Endereço virtual: 59691 | Endereço físico: 18987 | Conteúdo: 74
Endereço virtual: 50967 | Endereço físico: 15383 | Conteúdo: 197
Endereço virtual:  7817 | Endereço físico: 11913 | Conteúdo: 0
Endereço virtual:  8545 | Endereço físico: 24161 | Conteúdo: 0
Endereço virtual: 55297 | Endereço físico: 12033 | Conteúdo: 0
Endereço virtual: 52954 | Endereço físico: 19674 | Conteúdo: 51
Endereço virtual: 39720 | Endereço físico: 15656 | Conteúdo: 0
Endereço virtual: 18455 | Endereço físico: 24343 | Conteúdo: 5
Endereço virtual: 30349 | Endereço físico: 16013 | Conteúdo: 0
Endereço virtual: 63270 | Endereço físico: 10278 | Conteúdo: 61
Endereço virtual: 27156 | Endereço físico: 16148 | Conteúdo: 0
Endereço virtual: 20614 | Endereço físico:  9606 | Conteúdo: 20
Endereço virtual: 19372 | Endereço físico: 16556 | Conteúdo: 0
Endereço virtual: 48689 | Endereço físico: 16689 | Conteúdo: 0
Endereço virtual: 49386 | Endereço físico: 17130 | Conteúdo: 48
Endereço virtual: 50584 | Endereço físico: 17304 | Conteúdo: 0
Endereço virtual: 51936 | Endereço físico: 17632 | Conteúdo: 0
Endereço virtual: 34705 | Endereço físico: 24977 | Conteúdo: 0
Endereço virtual: 13653 | Endereço físico: 30549 | Conteúdo: 0
Endereço virtual: 50077 | Endereço físico: 17821 | Conteúdo: 0
Endereço virtual: 54518 | Endereço físico: 18166 | Conteúdo: 53
Endereço virtual: 41482 | Endereço físico: 18186 | Conteúdo: 40
Endereço virtual:  4169 | Endereço físico: 25417 | Conteúdo: 0
Endereço virtual: 36118 | Endereço físico:  1814 | Conteúdo: 35
Endereço virtual:  9584 | Endereço físico: 18544 | Conteúdo: 0
Endereço virtual: 18490 | Endereço físico: 24378 | Conteúdo: 18
Endereço virtual: 55420 | Endereço físico: 12156 | Conteúdo: 0
Endereço virtual:  5708 | Endereço físico: 28748 | Conteúdo: 0
Endereço virtual: 23506 | Endereço físico: 15314 | Conteúdo: 22
Endereço virtual: 15391 | Endereço físico:  4639 | Conteúdo: 7
Endereço virtual: 36368 | Endereço físico: 18704 | Conteúdo: 0
Endereço virtual: 38976 | Endereço físico: 19008 | Conteúdo: 0
Endereço virtual: 50406 | Endereço físico: 19430 | Conteúdo: 49
Endereço virtual: 49236 | Endereço físico: 16980 | Conteúdo: 0
Endereço virtual: 65035 | Endereço físico: 21003 | Conteúdo: 130
Endereço virtual: 30120 | Endereço físico: 19624 | Conteúdo: 0
Endereço virtual: 62551 | Endereço físico:  4439 | Conteúdo: 21
Endereço virtual: 46809 | Endereço físico:  3289 | Conteúdo: 0
Endereço virtual: 21687 | Endereço físico: 29623 | Conteúdo: 45
Endereço virtual: 53839 | Endereço físico: 32591 | Conteúdo: 147
Endereço virtual:  2098 | Endereço físico: 19762 | Conteúdo: 2
Endereço virtual: 12364 | Endereço físico: 20044 | Conteúdo: 0
Endereço virtual: 45366 | Endereço físico: 20278 | Conteúdo: 44
Endereço virtual: 50437 | Endereço físico: 17157 | Conteúdo: 0
Endereço virtual: 36675 | Endereço físico: 20547 | Conteúdo: 208
Endereço virtual: 55382 | Endereço físico: 12118 | Conteúdo: 54
Endereço virtual: 11846 | Endereço físico: 20806 | Conteúdo: 11
Endereço virtual: 49127 | Endereço físico: 24807 | Conteúdo: 249
Endereço virtual: 19900 | Endereço físico:  5564 | Conteúdo: 0
Endereço virtual: 20554 | Endereço físico:  9546 | Conteúdo: 20
Endereço virtual: 19219 | Endereço físico: 16403 | Conteúdo: 196
Endereço virtual: 51483 | Endereço físico: 21019 | Conteúdo: 70
Endereço virtual: 58090 | Endereço físico: 21482 | Conteúdo: 56
Endereço virtual: 39074 | Endereço físico: 19106 | Conteúdo: 38
Endereço virtual: 16060 | Endereço físico: 28092 | Conteúdo: 0
Endereço virtual: 10447 | Endereço físico: 21711 | Conteúdo: 51
Endereço virtual: 54169 | Endereço físico: 28569 | Conteúdo: 0
Endereço virtual: 20634 | Endereço físico:  9626 | Conteúdo: 20
Endereço virtual: 57555 | Endereço físico: 21971 | Conteúdo: 52
Endereço virtual: 61210 | Endereço físico: 22042 | Conteúdo: 59
Endereço virtual:   269 | Endereço físico:  9741 | Conteúdo: 0
Endereço virtual: 33154 | Endereço físico: 31362 | Conteúdo: 32
Endereço virtual: 64487 | Endereço físico: 22503 | Conteúdo: 249
Endereço virtual: 61223 | Endereço físico: 22055 | Conteúdo: 201
Endereço virtual: 47292 | Endereço físico: 10940 | Conteúdo: 0
Endereço virtual: 21852 | Endereço físico: 22620 | Conteúdo: 0
Endereço virtual:  5281 | Endereço físico: 14241 | Conteúdo: 0
Endereço virtual: 45912 | Endereço físico: 25688 | Conteúdo: 0
Endereço virtual: 32532 | Endereço físico: 23572 | Conteúdo: 0
Endereço virtual: 63067 | Endereço físico: 22875 | Conteúdo: 150
Endereço virtual: 41683 | Endereço físico: 18387 | Conteúdo: 180
Endereço virtual: 20981 | Endereço físico: 23285 | Conteúdo: 0
Endereço virtual: 33881 | Endereço físico: 23385 | Conteúdo: 0
Endereço virtual: 41785 | Endereço físico: 23609 | Conteúdo: 0
Endereço virtual:  4580 | Endereço físico: 14564 | Conteúdo: 0
Endereço virtual: 41389 | Endereço físico: 23981 | Conteúdo: 0
Endereço virtual: 28572 | Endereço físico: 31644 | Conteúdo: 0
Endereço virtual:   782 | Endereço físico: 24078 | Conteúdo: 0
Endereço virtual: 30273 | Endereço físico: 15937 | Conteúdo: 0
Endereço virtual: 62267 | Endereço físico: 25915 | Conteúdo: 206
Endereço virtual: 17922 | Endereço físico:     2 | Conteúdo: 17
Endereço virtual: 63238 | Endereço físico: 10246 | Conteúdo: 61
Endereço virtual:  3308 | Endereço físico: 12524 | Conteúdo: 0
Endereço virtual: 26545 | Endereço físico:  5041 | Conteúdo: 0
Endereço virtual: 44395 | Endereço físico: 24427 | Conteúdo: 90
Endereço virtual: 39120 | Endereço físico: 19152 | Conteúdo: 0
Endereço virtual: 21706 | Endereço físico: 29642 | Conteúdo: 21
Endereço virtual:  7144 | Endereço físico: 24808 | Conteúdo: 0
Endereço virtual: 30244 | Endereço físico: 15908 | Conteúdo: 0
Endereço virtual:  3725 | Endereço físico: 24973 | Conteúdo: 0
Endereço virtual: 54632 | Endereço físico: 25192 | Conteúdo: 0
Endereço virtual: 30574 | Endereço físico: 25454 | Conteúdo: 29
Endereço virtual:  8473 | Endereço físico: 25625 | Conteúdo: 0
Endereço virtual: 12386 | Endereço físico: 20066 | Conteúdo: 12
Endereço virtual: 41114 | Endereço físico:  3482 | Conteúdo: 40
Endereço virtual: 57930 | Endereço físico: 21322 | Conteúdo: 56
Endereço virtual: 15341 | Endereço físico:  6125 | Conteúdo: 0
Endereço virtual: 15598 | Endereço físico:  4846 | Conteúdo: 15
Endereço virtual: 59922 | Endereço físico: 25874 | Conteúdo: 58
Endereço virtual: 18226 | Endereço físico: 26162 | Conteúdo: 17
Endereço virtual: 48162 | Endereço físico: 26402 | Conteúdo: 47
Endereço virtual: 41250 | Endereço físico: 23842 | Conteúdo: 40
Endereço virtual:  1512 | Endereço físico: 27624 | Conteúdo: 0
Endereço virtual:  2546 | Endereço físico:  8178 | Conteúdo: 2
Endereço virtual: 41682 | Endereço físico: 18386 | Conteúdo: 40
Endereço virtual:   322 | Endereço físico:  9794 | Conteúdo: 0
Endereço virtual:   880 | Endereço físico: 24176 | Conteúdo: 0
Endereço virtual: 20891 | Endereço físico: 23195 | Conteúdo: 102
Endereço virtual: 56604 | Endereço físico: 26652 | Conteúdo: 0
Endereço virtual: 40166 | Endereço físico: 27110 | Conteúdo: 39
Endereço virtual: 26791 | Endereço físico: 27303 | Conteúdo: 41
Endereço virtual: 44560 | Endereço físico: 27408 | Conteúdo: 0
Endereço virtual: 38698 | Endereço físico: 27690 | Conteúdo: 37
Endereço virtual: 64127 | Endereço físico: 28031 | Conteúdo: 159
Endereço virtual: 15028 | Endereço físico: 28340 | Conteúdo: 0
Endereço virtual: 38669 | Endereço físico: 27661 | Conteúdo: 0
Endereço virtual: 45637 | Endereço físico: 28485 | Conteúdo: 0
Endereço virtual: 43151 | Endereço físico: 29327 | Conteúdo: 35
Endereço virtual:  9465 | Endereço físico:  7417 | Conteúdo: 0
Endereço virtual:  2498 | Endereço físico:  8130 | Conteúdo: 2
Endereço virtual: 13978 | Endereço físico: 28826 | Conteúdo: 13
Endereço virtual: 16326 | Endereço físico:  6854 | Conteúdo: 15
Endereço virtual: 51442 | Endereço físico:  5874 | Conteúdo: 50
Endereço virtual: 34845 | Endereço físico:  5149 | Conteúdo: 0
Endereço virtual: 63667 | Endereço físico: 29107 | Conteúdo: 44
Endereço virtual: 39370 | Endereço físico:  4042 | Conteúdo: 38
Endereço virtual: 55671 | Endereço físico: 29303 | Conteúdo: 93
Endereço virtual: 64496 | Endereço físico: 22512 | Conteúdo: 0
Endereço virtual:  7767 | Endereço físico: 11863 | Conteúdo: 149
Endereço virtual:  6283 | Endereço físico: 29579 | Conteúdo: 34
Endereço virtual: 55884 | Endereço físico: 29772 | Conteúdo: 0
Endereço virtual: 61103 | Endereço físico: 30127 | Conteúdo: 171
Endereço virtual: 10184 | Endereço físico: 30408 | Conteúdo: 0
Endereço virtual: 39543 | Endereço físico: 30583 | Conteúdo: 157
Endereço virtual:  9555 | Endereço físico: 18515 | Conteúdo: 84
Endereço virtual: 13963 | Endereço físico: 28811 | Conteúdo: 162
Endereço virtual: 58975 | Endereço físico: 30815 | Conteúdo: 151
Endereço virtual: 19537 | Endereço físico: 31057 | Conteúdo: 0
Endereço virtual:  6101 | Endereço físico:  7125 | Conteúdo: 0
Endereço virtual: 41421 | Endereço físico: 24013 | Conteúdo: 0
Endereço virtual: 45502 | Endereço físico: 20414 | Conteúdo: 44
Endereço virtual: 29328 | Endereço físico: 31376 | Conteúdo: 0
Endereço virtual:  8149 | Endereço físico: 14037 | Conteúdo: 0
Endereço virtual: 25450 | Endereço físico: 31594 | Conteúdo: 24
Endereço virtual: 58944 | Endereço físico: 30784 | Conteúdo: 0
Endereço virtual: 50666 | Endereço físico: 17386 | Conteúdo: 49
Endereço virtual: 23084 | Endereço físico:  9260 | Conteúdo: 0
Endereço virtual: 36468 | Endereço físico: 18804 | Conteúdo: 0
Endereço virtual: 33645 | Endereço físico: 31853 | Conteúdo: 0
Endereço virtual: 25002 | Endereço físico: 32170 | Conteúdo: 24
Endereço virtual: 53715 | Endereço físico: 32467 | Conteúdo: 116
Endereço virtual: 60173 | Endereço físico: 11533 | Conteúdo: 0
Endereço virtual: 46354 | Endereço físico: 32530 | Conteúdo: 45
Endereço virtual:  4708 | Endereço físico: 14692 | Conteúdo: 0
Endereço virtual: 28208 | Endereço físico:  7728 | Conteúdo: 0
Endereço virtual: 58844 | Endereço físico:  3036 | Conteúdo: 0
Endereço virtual: 22173 | Endereço físico:  9117 | Conteúdo: 0
Endereço virtual:  8535 | Endereço físico: 25687 | Conteúdo: 85
Endereço virtual: 42261 | Endereço físico:    21 | Conteúdo: 0
Endereço virtual: 29687 | Endereço físico:   503 | Conteúdo: 253
Endereço virtual: 37799 | Endereço físico:   679 | Conteúdo: 233
Endereço virtual: 22566 | Endereço físico:   806 | Conteúdo: 22
Endereço virtual: 62520 | Endereço físico:  4408 | Conteúdo: 0
Endereço virtual:  4098 | Endereço físico:  1026 | Conteúdo: 4
Endereço virtual: 47999 | Endereço físico:  6527 | Conteúdo: 223
Endereço virtual: 49660 | Endereço físico:  1532 | Conteúdo: 0
Endereço virtual: 37063 | Endereço físico:  2247 | Conteúdo: 49
Endereço virtual: 41856 | Endereço físico: 23680 | Conteúdo: 0
Endereço virtual:  5417 | Endereço físico:  1577 | Conteúdo: 0
Endereço virtual: 48856 | Endereço físico: 16856 | Conteúdo: 0
Endereço virtual: 10682 | Endereço físico:  1978 | Conteúdo: 10
Endereço virtual: 22370 | Endereço físico:  8802 | Conteúdo: 21
Endereço virtual: 63281 | Endereço físico: 10289 | Conteúdo: 0
Endereço virtual: 62452 | Endereço físico:  2292 | Conteúdo: 0
Endereço virtual: 50532 | Endereço físico: 17252 | Conteúdo: 0
Endereço virtual:  9022 | Endereço físico:  2366 | Conteúdo: 8
Endereço virtual: 59300 | Endereço físico:  2724 | Conteúdo: 0
Endereço virtual: 58660 | Endereço físico:  2852 | Conteúdo: 0
Endereço virtual: 56401 | Endereço físico:  2897 | Conteúdo: 0
Endereço virtual:  8518 | Endereço físico: 25670 | Conteúdo: 8
Endereço virtual: 63066 | Endereço físico: 22874 | Conteúdo: 61
Endereço virtual: 63250 | Endereço físico: 10258 | Conteúdo: 61
Endereço virtual: 48592 | Endereço físico:  3280 | Conteúdo: 0
Endereço virtual: 28771 | Endereço físico:  3427 | Conteúdo: 24
Endereço virtual: 37673 | Endereço físico:   553 | Conteúdo: 0
Endereço virtual: 60776 | Endereço físico:  3688 | Conteúdo: 0
Endereço virtual: 56438 | Endereço físico:  2934 | Conteúdo: 55
Endereço virtual: 60424 | Endereço físico: 12808 | Conteúdo: 0
Endereço virtual: 39993 | Endereço físico: 26937 | Conteúdo: 0
Endereço virtual: 56004 | Endereço físico: 29892 | Conteúdo: 0
Endereço virtual: 59002 | Endereço físico: 30842 | Conteúdo: 57
Endereço virtual: 33982 | Endereço físico: 23486 | Conteúdo: 33
Endereço virtual: 25498 | Endereço físico: 31642 | Conteúdo: 24
Endereço virtual: 57047 | Endereço físico:  4055 | Conteúdo: 181
Endereço virtual:  1401 | Endereço físico:  4217 | Conteúdo: 0
Endereço virtual: 15130 | Endereço físico:  5914 | Conteúdo: 14
Endereço virtual: 42960 | Endereço físico:  4560 | Conteúdo: 0
Endereço virtual: 61827 | Endereço físico:  4739 | Conteúdo: 96
Endereço virtual: 32442 | Endereço físico:  5050 | Conteúdo: 31
Endereço virtual: 64304 | Endereço físico: 22320 | Conteúdo: 0
Endereço virtual: 30273 | Endereço físico: 15937 | Conteúdo: 0
Endereço virtual: 38082 | Endereço físico:  5314 | Conteúdo: 37
Endereço virtual: 22404 | Endereço físico:  8836 | Conteúdo: 0
Endereço virtual:  3808 | Endereço físico: 25056 | Conteúdo: 0
Endereço virtual: 16883 | Endereço físico:  5619 | Conteúdo: 124
Endereço virtual: 23111 | Endereço físico:  9287 | Conteúdo: 145
Endereço virtual: 62417 | Endereço físico:  2257 | Conteúdo: 0
Endereço virtual: 60364 | Endereço físico: 11724 | Conteúdo: 0
Endereço virtual:  4542 | Endereço físico: 14526 | Conteúdo: 4
Endereço virtual: 14829 | Endereço físico:  5869 | Conteúdo: 0
Endereço virtual: 44964 | Endereço físico:  6052 | Conteúdo: 0
Endereço virtual: 33924 | Endereço físico: 23428 | Conteúdo: 0
Endereço virtual:  2141 | Endereço físico: 19805 | Conteúdo: 0
Endereço virtual: 19245 | Endereço físico: 16429 | Conteúdo: 0
Endereço virtual: 47168 | Endereço físico: 10816 | Conteúdo: 0
Endereço virtual: 24048 | Endereço físico:  6384 | Conteúdo: 0
Endereço virtual:  1022 | Endereço físico: 24318 | Conteúdo: 0
Endereço virtual: 23075 | Endereço físico:  9251 | Conteúdo: 136
Endereço virtual: 24888 | Endereço físico: 32056 | Conteúdo: 0
Endereço virtual: 49247 | Endereço físico: 16991 | Conteúdo: 23
Endereço virtual:  4900 | Endereço físico:  6436 | Conteúdo: 0
Endereço virtual: 22656 | Endereço físico:   896 | Conteúdo: 0
Endereço virtual: 34117 | Endereço físico:  6725 | Conteúdo: 0
Endereço virtual: 55555 | Endereço físico: 29187 | Conteúdo: 64
Endereço virtual: 48947 | Endereço físico:  6963 | Conteúdo: 204
Endereço virtual: 59533 | Endereço físico:  7309 | Conteúdo: 0
Endereço virtual: 21312 | Endereço físico:  7488 | Conteúdo: 0
Endereço virtual: 21415 | Endereço físico:  7591 | Conteúdo: 233
Endereço virtual:   813 | Endereço físico: 24109 | Conteúdo: 0
Endereço virtual: 19419 | Endereço físico: 16603 | Conteúdo: 246
Endereço virtual:  1999 | Endereço físico: 10191 | Conteúdo: 243
Endereço virtual: 20155 | Endereço físico:  7867 | Conteúdo: 174
Endereço virtual: 21521 | Endereço físico:  7953 | Conteúdo: 0
Endereço virtual: 13670 | Endereço físico:  8294 | Conteúdo: 13
Endereço virtual: 19289 | Endereço físico: 16473 | Conteúdo: 0
Endereço virtual: 58483 | Endereço físico:  8563 | Conteúdo: 28
Endereço virtual: 41318 | Endereço físico: 23910 | Conteúdo: 40
Endereço virtual: 16151 | Endereço físico:  8727 | Conteúdo: 197
Endereço virtual: 13611 | Endereço físico:  8235 | Conteúdo: 74
Endereço virtual: 21514 | Endereço físico:  7946 | Conteúdo: 21
Endereço virtual: 13499 | Endereço físico:  9147 | Conteúdo: 46
Endereço virtual: 45583 | Endereço físico: 28431 | Conteúdo: 131
Endereço virtual: 49013 | Endereço físico:  7029 | Conteúdo: 0
Endereço virtual: 64843 | Endereço físico:  9291 | Conteúdo: 82
Endereço virtual: 63485 | Endereço físico: 10493 | Conteúdo: 0
Endereço virtual: 38697 | Endereço físico: 27689 | Conteúdo: 0
Endereço virtual: 59188 | Endereço físico:  2612 | Conteúdo: 0
Endereço virtual: 24593 | Endereço físico:  9489 | Conteúdo: 0
Endereço virtual: 57641 | Endereço físico:  9769 | Conteúdo: 0
Endereço virtual: 36524 | Endereço físico: 18860 | Conteúdo: 0
Endereço virtual: 56980 | Endereço físico:  3988 | Conteúdo: 0
Endereço virtual: 36810 | Endereço físico: 20682 | Conteúdo: 35
Endereço virtual:  6096 | Endereço físico: 10192 | Conteúdo: 0
Endereço virtual: 11070 | Endereço físico: 13630 | Conteúdo: 10
Endereço virtual: 60124 | Endereço físico: 26076 | Conteúdo: 0
Endereço virtual: 37576 | Endereço físico: 10440 | Conteúdo: 0
Endereço virtual: 15096 | Endereço físico: 28408 | Conteúdo: 0
Endereço virtual: 45247 | Endereço físico: 10687 | Conteúdo: 47
Endereço virtual: 32783 | Endereço físico: 11279 | Conteúdo: 3
Endereço virtual: 58390 | Endereço físico:  8470 | Conteúdo: 57
Endereço virtual: 60873 | Endereço físico:  3785 | Conteúdo: 0
Endereço virtual: 23719 | Endereço físico: 10919 | Conteúdo: 41
Endereço virtual: 24385 | Endereço físico: 11073 | Conteúdo: 0
Endereço virtual: 22307 | Endereço físico: 11299 | Conteúdo: 200
