 == BEGINING OF EXECUTION == 



Endereço virtual: 58892 | Endereço físico: 14860 | Conteúdo: 0
Endereço virtual:  8620 | Endereço físico: 20140 | Conteúdo: 0
Endereço virtual: 38336 | Endereço físico: 20416 | Conteúdo: 0
Endereço virtual: 64357 | Endereço físico:  4965 | Conteúdo: 0
Endereço virtual: 23387 | Endereço físico: 20571 | Conteúdo: 214
Endereço virtual: 42632 | Endereço físico: 20872 | Conteúdo: 0
Endereço virtual: 15913 | Endereço físico: 21033 | Conteúdo: 0
Endereço virtual: 15679 | Endereço físico: 11839 | Conteúdo: 79
Endereço virtual: 22501 | Endereço físico: 11493 | Conteúdo: 0
Endereço virtual: 37540 | Endereço físico: 21412 | Conteúdo: 0
Endereço virtual:  5527 | Endereço físico: 21655 | Conteúdo: 101
Endereço virtual: 63921 | Endereço físico: 21937 | Conteúdo: 0
Endereço virtual: 62716 | Endereço físico:   508 | Conteúdo: 0
Endereço virtual: 32874 | Endereço físico:  4202 | Conteúdo: 32
Endereço virtual: 64390 | Endereço físico:  4998 | Conteúdo: 62
Endereço virtual: 63101 | Endereço físico: 22141 | Conteúdo: 0
Endereço virtual: 61802 | Endereço físico: 22378 | Conteúdo: 60
Endereço virtual: 19648 | Endereço físico: 22720 | Conteúdo: 0
Endereço virtual: 29031 | Endereço físico: 16487 | Conteúdo: 89
Endereço virtual: 44981 | Endereço físico: 13237 | Conteúdo: 0
Endereço virtual: 28092 | Endereço físico:  3516 | Conteúdo: 0
Endereço virtual:  9448 | Endereço físico: 23016 | Conteúdo: 0
Endereço virtual: 44744 | Endereço físico: 11208 | Conteúdo: 0
Endereço virtual: 61496 | Endereço físico: 23096 | Conteúdo: 0
Endereço virtual: 31453 | Endereço físico: 23517 | Conteúdo: 0
Endereço virtual: 60746 | Endereço físico: 23626 | Conteúdo: 59
Endereço virtual: 12199 | Endereço físico:  2727 | Conteúdo: 233
Endereço virtual: 62255 | Endereço físico: 23855 | Conteúdo: 203
Endereço virtual: 21793 | Endereço físico: 24097 | Conteúdo: 0
Endereço virtual: 26544 | Endereço físico: 24496 | Conteúdo: 0
Endereço virtual: 14964 | Endereço físico: 24692 | Conteúdo: 0
Endereço virtual: 41462 | Endereço físico: 25078 | Conteúdo: 40
Endereço virtual: 56089 | Endereço físico: 25113 | Conteúdo: 0
Endereço virtual: 52038 | Endereço físico: 25414 | Conteúdo: 50
Endereço virtual: 47982 | Endereço físico: 25710 | Conteúdo: 46
Endereço virtual: 59484 | Endereço físico: 25948 | Conteúdo: 0
Endereço virtual: 50924 | Endereço físico: 26348 | Conteúdo: 0
Endereço virtual:  6942 | Endereço físico: 26398 | Conteúdo: 6
Endereço virtual: 34998 | Endereço físico: 26806 | Conteúdo: 34
Endereço virtual: 27069 | Endereço físico: 27069 | Conteúdo: 0
Endereço virtual: 51926 | Endereço físico: 27350 | Conteúdo: 50
Endereço virtual: 60645 | Endereço físico:  7397 | Conteúdo: 0
Endereço virtual: 43181 | Endereço físico: 17581 | Conteúdo: 0
Endereço virtual: 10559 | Endereço físico: 27455 | Conteúdo: 79
Endereço virtual:  4664 | Endereço físico: 27704 | Conteúdo: 0
Endereço virtual: 28578 | Endereço físico: 28066 | Conteúdo: 27
Endereço virtual: 59516 | Endereço físico: 25980 | Conteúdo: 0
Endereço virtual: 38912 | Endereço físico:  3840 | Conteúdo: 0
Endereço virtual: 63562 | Endereço físico: 28234 | Conteúdo: 62
Endereço virtual: 64846 | Endereço físico:  2126 | Conteúdo: 63
Endereço virtual: 62938 | Endereço físico: 28634 | Conteúdo: 61
Endereço virtual: 27194 | Endereço físico: 28730 | Conteúdo: 26
Endereço virtual: 28804 | Endereço físico:  1412 | Conteúdo: 0
Endereço virtual: 61703 | Endereço físico: 22279 | Conteúdo: 65
Endereço virtual: 10998 | Endereço físico: 12534 | Conteúdo: 10
Endereço virtual:  6596 | Endereço físico: 29124 | Conteúdo: 0
Endereço virtual: 37721 | Endereço físico: 29273 | Conteúdo: 0
Endereço virtual: 43430 | Endereço físico: 29606 | Conteúdo: 42
Endereço virtual: 22692 | Endereço físico:  2980 | Conteúdo: 0
Endereço virtual: 62971 | Endereço físico: 28667 | Conteúdo: 126
Endereço virtual: 47125 | Endereço físico: 29717 | Conteúdo: 0
Endereço virtual: 52521 | Endereço físico: 29993 | Conteúdo: 0
Endereço virtual: 34646 | Endereço físico: 18006 | Conteúdo: 33
Endereço virtual: 32889 | Endereço físico:  4217 | Conteúdo: 0
Endereço virtual: 13055 | Endereço físico: 30463 | Conteúdo: 191
Endereço virtual: 65416 | Endereço físico: 30600 | Conteúdo: 0
Endereço virtual: 62869 | Endereço físico: 28565 | Conteúdo: 0
Endereço virtual: 57314 | Endereço físico: 30946 | Conteúdo: 55
Endereço virtual: 12659 | Endereço físico: 31091 | Conteúdo: 92
Endereço virtual: 14052 | Endereço físico: 31460 | Conteúdo: 0
Endereço virtual: 32956 | Endereço físico:  4284 | Conteúdo: 0
Endereço virtual: 49273 | Endereço físico:  8569 | Conteúdo: 0
Endereço virtual: 50352 | Endereço físico: 14000 | Conteúdo: 0
Endereço virtual: 49737 | Endereço físico: 31561 | Conteúdo: 0
Endereço virtual: 15555 | Endereço físico: 31939 | Conteúdo: 48
Endereço virtual: 47475 | Endereço físico: 32115 | Conteúdo: 92
Endereço virtual: 15328 | Endereço físico: 32480 | Conteúdo: 0
Endereço virtual: 34621 | Endereço físico: 17981 | Conteúdo: 0
Endereço virtual: 51365 | Endereço físico: 32677 | Conteúdo: 0
Endereço virtual: 32820 | Endereço físico:  4148 | Conteúdo: 0
Endereço virtual: 48855 | Endereço físico:   215 | Conteúdo: 181
Endereço virtual: 12224 | Endereço físico:  2752 | Conteúdo: 0
Endereço virtual:  2035 | Endereço físico:   499 | Conteúdo: 252
Endereço virtual: 60539 | Endereço físico:  7291 | Conteúdo: 30
Endereço virtual: 14595 | Endereço físico:   515 | Conteúdo: 64
Endereço virtual: 13853 | Endereço físico: 31261 | Conteúdo: 0
Endereço virtual: 24143 | Endereço físico:   847 | Conteúdo: 147
Endereço virtual: 15216 | Endereço físico: 32368 | Conteúdo: 0
Endereço virtual:  8113 | Endereço físico:  1201 | Conteúdo: 0
Endereço virtual: 22640 | Endereço físico:  2928 | Conteúdo: 0
Endereço virtual: 32978 | Endereço físico:  4306 | Conteúdo: 32
Endereço virtual: 39151 | Endereço físico:  4079 | Conteúdo: 59
Endereço virtual: 19520 | Endereço físico: 22592 | Conteúdo: 0
Endereço virtual: 58141 | Endereço físico:  1309 | Conteúdo: 0
Endereço virtual: 63959 | Endereço físico: 21975 | Conteúdo: 117
Endereço virtual: 53040 | Endereço físico:  1584 | Conteúdo: 0
Endereço virtual: 55842 | Endereço físico:  1826 | Conteúdo: 54
Endereço virtual:   585 | Endereço físico: 17225 | Conteúdo: 0
Endereço virtual: 51229 | Endereço físico: 32541 | Conteúdo: 0
Endereço virtual: 64181 | Endereço físico:  4533 | Conteúdo: 0
